filename,class
casme2-sub17_EP07_01-disgust,disgust
casme2-sub17_EP08_02-disgust,disgust
casme2-sub17_EP11_01-disgust,disgust
casme2-sub17_EP11_02-disgust,disgust
casme2-sub17_EP13_03-disgust,disgust
casme2-sub17_EP13_04-disgust,disgust
casme2-sub17_EP13_06-disgust,disgust
casme2-sub17_EP13_09-happiness,happiness
casme2-sub17_EP15_01-sadness,sadness
casme2-sub17_EP15_03-sadness,sadness
casme2-sub17_EP16_01f-disgust,disgust
casme2-sub17_EP18_07-disgust,disgust
casme2-sub19_EP01_01f-happiness,happiness
casme2-sub19_EP01_02f-happiness,happiness
casme2-sub19_EP02_01-surprise,surprise
casme2-sub19_EP06_01f-surprise,surprise
casme2-sub19_EP08_02-happiness,happiness
casme2-sub19_EP11_04f-surprise,surprise
casme2-sub19_EP13_01-disgust,disgust
casme2-sub19_EP16_01-disgust,disgust
casme2-sub19_EP16_02-disgust,disgust
casme2-sub19_EP19_02-surprise,surprise
casme2-sub19_EP19_03-surprise,surprise
casme2-sub19_EP19_04-sadness,sadness
casme2-sub20_EP01_03-disgust,disgust
casme2-sub20_EP06_03-disgust,disgust
casme2-sub23_EP02_01-happiness,happiness
casme2-sub23_EP03_14f-disgust,disgust
casme2-sub23_EP05_25f-disgust,disgust
casme2-sub23_EP12_02f-disgust,disgust
casme2-sub23_EP12_03-disgust,disgust
casme2-sub24_EP01_08-disgust,disgust
casme2-sub24_EP02_02f-disgust,disgust
casme2-sub24_EP07_01-surprise,surprise
casme2-sub24_EP07_04f-surprise,surprise
casme2-sub24_EP10_03-surprise,surprise
casme2-sub24_EP18_03-surprise,surprise
casme2-sub25_EP09_02-disgust,disgust
casme2-sub25_EP10_01-disgust,disgust
casme2-sub25_EP10_10-surprise,surprise
casme2-sub25_EP12_01-surprise,surprise
casme2-sub25_EP18_04f-disgust,disgust
casme2-sub26_EP03_10-happiness,happiness
casme2-sub26_EP09_04-disgust,disgust
casme2-sub26_EP09_09-disgust,disgust
casme2-sub26_EP13_02-happiness,happiness
casme2-sub26_EP13_11-disgust,disgust
casme2-sub26_EP15_01-sadness,sadness
casme2-sub26_EP16_01-disgust,disgust
casme2-sub26_EP18_44-disgust,disgust
casme2-sub26_EP18_47-disgust,disgust
casme2-sub26_EP18_49-disgust,disgust
casme2-sub26_EP18_50-disgust,disgust
casme2-sub26_EP18_51-disgust,disgust
samm-006_1_2-anger,anger
samm-006_1_3-anger,anger
samm-006_1_4-anger,anger
samm-006_1_5-anger,anger
samm-006_1_6-anger,anger
samm-006_2_4-anger,anger
samm-006_3_4-sadness,sadness
samm-006_3_5-surprise,surprise
samm-006_5_10-fear,fear
samm-006_5_11-anger,anger
samm-006_5_9-surprise,surprise
samm-007_3_1-fear,fear
samm-007_5_3-surprise,surprise
samm-007_6_1-happiness,happiness
samm-007_6_2-happiness,happiness
samm-007_6_3-happiness,happiness
samm-007_6_5-happiness,happiness
samm-007_7_1-surprise,surprise
samm-007_7_5-happiness,happiness
samm-009_2_1-fear,fear
samm-009_3_2-anger,anger
samm-009_3_3-anger,anger
samm-009_3_4-surprise,surprise
samm-010_2_1-anger,anger
samm-010_2_8-anger,anger
samm-010_4_1-anger,anger
samm-010_4_2-anger,anger
samm-011_1_4-anger,anger
samm-011_2_1-disgust,disgust
samm-011_2_2-disgust,disgust
samm-011_2_3-disgust,disgust
samm-011_2_7-happiness,happiness
samm-011_3_1-anger,anger
samm-011_3_4-happiness,happiness
samm-011_3_5-happiness,happiness
samm-011_3_6-happiness,happiness
samm-011_4_1-anger,anger
samm-011_4_12-anger,anger
samm-011_4_13-anger,anger
samm-011_4_2-contempt,contempt
samm-011_5_1-contempt,contempt
samm-011_6_1-disgust,disgust
samm-011_6_13-happiness,happiness
samm-011_6_5-happiness,happiness
samm-011_6_6-happiness,happiness
samm-011_7_1-disgust,disgust
samm-011_7_10-contempt,contempt
samm-012_3_1-fear,fear
samm-012_3_2-fear,fear
samm-012_7_1-surprise,surprise
samm-013_1_10-anger,anger
samm-013_1_11-anger,anger
samm-013_1_12-anger,anger
samm-013_1_8-anger,anger
samm-013_1_9-anger,anger
samm-013_7_7-anger,anger
samm-014_1_1-fear,fear
samm-014_2_3-surprise,surprise
samm-014_2_4-happiness,happiness
samm-014_3_3-happiness,happiness
samm-014_3_4-happiness,happiness
samm-014_5_2-contempt,contempt
samm-014_6_1-happiness,happiness
samm-014_6_2-happiness,happiness
samm-014_6_3-happiness,happiness
samm-014_7_1-happiness,happiness
samm-015_5_1-sadness,sadness
samm-015_5_2-contempt,contempt
samm-015_5_3-surprise,surprise
samm-016_7_1-anger,anger
samm-016_7_2-surprise,surprise
samm-016_7_3-anger,anger
samm-016_7_5-surprise,surprise
samm-016_7_8-happiness,happiness
samm-017_3_1-contempt,contempt
samm-017_3_2-surprise,surprise
samm-017_3_4-contempt,contempt
samm-017_6_1-anger,anger
samm-018_3_1-disgust,disgust
samm-018_5_1-sadness,sadness
samm-018_7_1-surprise,surprise
samm-019_4_1-happiness,happiness
samm-020_4_1-contempt,contempt
samm-020_4_2-happiness,happiness
samm-020_7_1-anger,anger
samm-020_7_10-happiness,happiness
samm-021_7_1-anger,anger
samm-021_7_2-anger,anger
samm-022_2_3-anger,anger
samm-022_3_2-anger,anger
samm-022_3_3-happiness,happiness
samm-022_4_1-anger,anger
samm-022_5_1-happiness,happiness
samm-023_1_1-anger,anger
samm-024_2_1-disgust,disgust
samm-026_1_1-anger,anger
samm-026_2_1-anger,anger
samm-026_2_2-anger,anger
samm-026_2_3-anger,anger
samm-026_3_3-anger,anger
samm-026_3_4-anger,anger
samm-026_5_1-contempt,contempt
samm-026_6_1-contempt,contempt
samm-026_7_3-disgust,disgust
samm-028_4_1-contempt,contempt
samm-028_4_3-surprise,surprise
samm-028_4_4-surprise,surprise
samm-030_1_1-anger,anger
samm-030_1_2-anger,anger
samm-030_5_1-anger,anger
samm-031_3_1-anger,anger
samm-032_3_1-anger,anger
samm-032_3_2-anger,anger
samm-032_4_2-anger,anger
samm-032_6_1-sadness,sadness
samm-033_1_3-happiness,happiness
samm-033_1_4-sadness,sadness
samm-033_1_5-anger,anger
samm-033_2_1-anger,anger
samm-033_2_2-anger,anger
samm-034_3_1-anger,anger
samm-034_7_2-anger,anger
samm-034_7_3-anger,anger
samm-035_1_1-anger,anger
samm-035_4_1-anger,anger
samm-035_4_2-anger,anger
samm-035_5_2-sadness,sadness
samm-035_5_3-fear,fear
samm-035_6_3-fear,fear
samm-035_7_1-surprise,surprise
samm-035_7_2-contempt,contempt
samm-036_7_3-disgust,disgust
samm-037_3_2-anger,anger
smic-s1_04-1-surprise,surprise
smic-s1_06-1-disgust,disgust
smic-s1_07-1-disgust,disgust
smic-s1_32-1-fear,fear
smic-s1_44-1-happiness,happiness
smic-s1_44-2-happiness,happiness
smic-s2_04-1-surprise,surprise
smic-s2_08-1-surprise,surprise
smic-s2_09-1-surprise,surprise
smic-s2_14-1-surprise,surprise
smic-s3_02-1-disgust,disgust
smic-s3_06-1-happiness,happiness
smic-s3_11-1-happiness,happiness
smic-s3_12-1-happiness,happiness
smic-s3_12-2-happiness,happiness
smic-s3_14-1-sadness,sadness
smic-s3_14-2-surprise,surprise
smic-s3_14-3-sadness,sadness
smic-s3_15-1-sadness,sadness
smic-s3_15-2-happiness,happiness
smic-s3_15-3-sadness,sadness
smic-s3_16-1-sadness,sadness
smic-s3_16-2-surprise,surprise
smic-s3_20-1-fear,fear
smic-s3_29-1-fear,fear
smic-s3_29-2-fear,fear
smic-s3_30-1-sadness,sadness
smic-s3_31-1-fear,fear
smic-s3_35-1-happiness,happiness
smic-s3_37-1-happiness,happiness
smic-s3_37-2-sadness,sadness
smic-s3_40-1-surprise,surprise
smic-s3_40-2-surprise,surprise
smic-s3_41-1-fear,fear
smic-s3_41-2-surprise,surprise
smic-s3_41-3-happiness,happiness
smic-s3_41-4-surprise,surprise
smic-s3_41-5-happiness,happiness
smic-s3_41-6-surprise,surprise
smic-s3_43-1-fear,fear
smic-s3_47-1-fear,fear
smic-s3_47-2-disgust,disgust
smic-s3_47-3-disgust,disgust
smic-s3_48-1-disgust,disgust
smic-s3_48-2-fear,fear
smic-s3_52-1-happiness,happiness
smic-s3_52-2-happiness,happiness
smic-s3_52-3-fear,fear
smic-s4_02-1-happiness,happiness
smic-s4_09-1-surprise,surprise
smic-s4_11-1-surprise,surprise
smic-s4_14-1-happiness,happiness
smic-s4_15-1-surprise,surprise
smic-s4_16-1-surprise,surprise
smic-s4_20-1-sadness,sadness
smic-s4_31-1-fear,fear
smic-s4_32-1-fear,fear
smic-s4_36-1-happiness,happiness
smic-s4_43-1-happiness,happiness
smic-s4_44-1-surprise,surprise
smic-s4_50-1-disgust,disgust
smic-s4_50-2-disgust,disgust
smic-s4_50-3-disgust,disgust
smic-s4_53-1-fear,fear
smic-s4_53-2-fear,fear
smic-s4_54-1-disgust,disgust
smic-s4_57-1-fear,fear
smic-s5_24-1-surprise,surprise
smic-s5_63-1-fear,fear
smic-s6_22-1-surprise,surprise
smic-s6_45-1-surprise,surprise
casme2-sub02_EP01_11f-repression.jpg,repression
casme2-sub02_EP02_04f-repression.jpg,repression
casme2-sub02_EP03_02f-repression.jpg,repression
casme2-sub02_EP06_01f-repression.jpg,repression
casme2-sub02_EP06_02f-repression.jpg,repression
casme2-sub08_EP13_01f-repression.jpg,repression
casme2-sub09_EP06_01f-repression.jpg,repression
casme2-sub09_EP09_04-repression.jpg,repression
casme2-sub09_EP09_05-repression.jpg,repression
casme2-sub09_EP13_01-repression.jpg,repression
casme2-sub09_EP17_08-repression.jpg,repression
casme2-sub16_EP01_08-repression.jpg,repression
casme2-sub17_EP02_18f-repression.jpg,repression
casme2-sub17_EP05_03f-repression.jpg,repression
casme2-sub17_EP05_04-repression.jpg,repression
casme2-sub17_EP05_09-repression.jpg,repression
casme2-sub17_EP05_10-repression.jpg,repression
casme2-sub17_EP06_08-repression.jpg,repression
casme2-sub17_EP10_06-repression.jpg,repression
casme2-sub17_EP12_03-repression.jpg,repression
casme2-sub17_EP15_04-repression.jpg,repression
casme2-sub21_EP05_02-repression.jpg,repression
casme2-sub22_EP01_12-repression.jpg,repression
casme2-sub22_EP13_08-repression.jpg,repression
casme2-sub23_EP04_03f-repression.jpg,repression
casme2-sub23_EP05_24f-repression.jpg,repression
casme2-sub23_EP13_04-repression.jpg,repression
